Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma01g07100,13.8875,11.9639,15.3223,14.1617,15.2722,14.3973
Glyma01g07110,0,0.593808,0.147992,0.550281,0.240916,0.30733
Glyma01g07120,0,0,0,0,0,0
Glyma01g07130,1.99865,0.644026,0.842668,0.223806,2.15564,0.249991
Glyma01g07140,0.307211,0.380185,0.604274,0.000108505,0.00021418,0.000213649
Glyma01g07150,16.451,1.9616,7.50492,12.2768,4.04275,7.65691
Glyma01g07155,2.62335,0.541625,1.55677,0.354357,1.21961,1.39197
Glyma01g07160,0.517572,0.511256,0.411566,0.592387,0.647898,0.908872
Glyma01g07175,0,0.190218,0,0.355235,0.330718,0
Glyma01g07190,2.44181,1.57658,1.44963,2.97304,2.79792,2.32166
Glyma01g07212,0.393388,0.519044,0.2337,0.0909172,0.154152,0.208574
Glyma01g07234,0.468433,0.194709,0.238404,0.314441,0.0858819,0.153864
Glyma01g07256,0.0567989,0.100776,0.150394,0.0222281,0.0475729,0.00650395
Glyma01g07278,0.00492925,0,0,0,0,0
Glyma01g07300,0.525382,0.80699,0.981338,0.993873,0.946716,1.13024
Glyma01g07310,0,0.117648,0.228321,0,0,0.126966
Glyma01g07320,0.746572,0.335102,0.535536,0.431153,0.377665,0.273497
Glyma01g07343,0,0,0,0,0,0
Glyma01g07366,0,0,0,0,0,2.58E-05
Glyma01g07390,0.262732,0.324916,0.187816,0.208037,0.281577,0.219265
Glyma01g07416,0.066217,0,0,0,0,0.00108811
Glyma01g07443,0.00346513,0.00144833,0.00152191,0.21677,0.00229035,0.183841
Glyma01g07470,0.632639,0.60002,0.549249,2.63616,2.84829,3.09287
Glyma01g07500,0.00429114,0.00195892,0.00251281,0.00498972,0.00254839,0.00361696
Glyma01g07530,7.98E-05,0.00014269,0.000230753,0,0,0
Glyma01g07542,0.373965,0.542262,0.540584,0.670017,0.953346,0.374203
Glyma01g07554,59.4874,46.9834,56.9493,50.1775,46.8507,54.6226
Glyma01g07567,0.0581996,0.380385,0.265197,0.398701,1.47519,0.622427
Glyma01g07580,5.67003,10.1981,20.7029,54.4915,60.2379,98.4118
Glyma01g07601,0,0,0,0.0862042,0.150963,0.00130378
Glyma01g07621,0.0783089,0.296705,0.046923,0.221094,0.0647295,0.119686
Glyma01g07641,0.80738,1.97251,2.83353,1.69053,1.19574,1.9752
Glyma01g07661,0.0614635,0,0.0783748,0,0.0827757,0
Glyma01g07680,8.06469,7.90281,7.62463,9.18922,7.79936,8.60796
Glyma01g07690,4.12546,4.8154,4.60125,8.76116,7.82978,6.45195
Glyma01g07716,0,0,0,0,0,0
Glyma01g07743,0,0.00679234,0.00126962,0.0148207,0.0162214,0.0103467
Glyma01g07770,0,1.04897,0.785413,1.07415,0,0.506112
Glyma01g07780,0.684559,0.454822,0.712423,1.99595,2.23263,2.59133
Glyma01g07791,0.73601,0.602889,0.176379,0,0.292848,0.00453626
Glyma01g07800,4.2638,1.31902,2.0513,5.34833,6.30188,4.05455
Glyma01g07860,6.40945,3.4059,3.20441,9.13349,10.4858,5.32294
Glyma01g07876,0.403687,0.375347,0.348605,0.424767,0.633507,0.435056
Glyma01g07893,0,0,0,0,0,0.0304857
Glyma01g07910,0.0931255,0.0528467,0.234988,1.04632,1.23135,1.71443
Glyma01g07930,143.833,123.621,101.409,112.147,106.016,91.5402
Glyma01g07940,1.66635,0.805421,1.7448,0.879395,0.277459,0.665117
Glyma01g07970,0.108815,0.128629,0.183066,0.155408,0.267863,0.23142
Glyma01g07985,0.678514,0.724704,1.11774,0.774483,0.495238,0.669824
Glyma01g08001,0.0021931,0.0240954,0.0419281,0.136264,0.0730578,0.110527
Glyma01g08015,0.145433,0.353603,0.280994,0.456809,0.379901,0.273123
Glyma01g08030,0.105803,0,0.0171862,0,0,0
Glyma01g08043,4.49223,4.51136,4.81315,4.77321,5.29432,4.93222
Glyma01g08056,2.02325,2.94203,1.28823,2.83868,1.23979,0.726142
Glyma01g08070,0.190313,0.434475,0.507774,0.303254,0.198165,0.2331
Glyma01g08080,5.30929,1.89814,2.68839,2.97188,1.1195,1.44742
Glyma01g08096,0.201297,0.18621,0.381576,0.291193,0.395713,0.457927
Glyma01g08113,0.106269,0.136973,0.204823,0.0951993,0.0833575,0.106337
Glyma01g08130,0,0.0388196,0.0580492,0.0539611,0.0944978,0.0301371
Glyma01g08150,0,0,0,0,0,0
Glyma01g08191,0.109174,0.0916063,0.138549,0.0869019,0.0658823,0.0823217
Glyma01g08230,15.2883,17.1951,13.6038,11.6733,10.6897,11.3491
Glyma01g08250,0,0,0,0,0.255243,0.162804
Glyma01g08260,14.9729,18.981,15.9569,14.1688,14.6859,9.68314
Glyma01g08400,0.183649,0.288094,0.191502,1.19248,1.68961,1.13719
Glyma01g08540,4.28149,8.32924,2.65303,6.74851,9.44809,3.17774
Glyma01g08560,0.109322,0.352269,0.368737,0.685537,0.882121,2.59447
Glyma01g08580,17.6709,17.9226,15.4004,18.9652,17.9572,18.2606
Glyma01g08586,0,0,0,0,0,0
Glyma01g08593,0.0409219,0,0,0,0,0
Glyma01g08600,0,0,0,0,0,0
Glyma01g08610,0.399628,0.306301,0.564467,0.317511,0.58975,0.469943
Glyma01g08621,0.625263,0.653024,0.704206,0.767581,0.685033,1.05681
Glyma01g08631,0.250031,0.032227,0,0.260266,0.0911566,0.290716
Glyma01g08640,1.45758,1.16131,1.16573,1.39941,0.318676,1.15963
Glyma01g08650,1.76612,0.930872,1.67747,0.262989,0.250718,1.15658
Glyma01g08690,0.0152732,0,0,0,0,0
Glyma01g08730,0.0160565,0,0,0,0,0
Glyma01g08745,0.0962373,0.0722374,0.133742,0.0918776,0.083507,0.126901
Glyma01g08760,0.0152732,0,0,0,0,0
Glyma01g08870,0.0764485,0.0259719,0.0704758,0.0250556,0.0130766,0.0243333
